,URW NA Equity,VIE FP Equity,VIV FP Equity,ORA FP Equity,EN FP Equity,SOLB BB Equity,AC FP Equity,PUB FP Equity,RI FP Equity,RMS FP Equity,LG FP Equity,ENGI FP Equity,FR FP Equity,FTI FP Equity,STM FP Equity,SU FP Equity,SW FP Equity,ACA FP Equity,AI FP Equity,AIR FP Equity,RNO FP Equity,SAF FP Equity,SAN FP Equity,SGO FP Equity,LI FP Equity,LR FP Equity,MC FP Equity,ML FP Equity,GLE FP Equity,GTO NA Equity,HOLN FP Equity,KER FP Equity,ALO FP Equity,ALU FP Equity,ATO FP Equity,BN FP Equity,TEC FP Equity,TTE FP Equity,UG FP Equity,UL NA Equity,MT NA Equity,NOKIA FP Equity,OR FP Equity,BNP FP Equity,CA FP Equity,CAP FP Equity,CS FP Equity,DG FP Equity,DSY FP Equity,EDF FP Equity,EL FP Equity
2017-08-11,208.15,18.2228,5.5166,14.065,36.905,120.6,39.06,61.87,116.0,432.65,59.96,13.56,57.05,16.6836,13.97,66.44,98.02,15.085,77.2727,70.75,74.62,80.24,80.1631,46.02,33.19,58.78,214.45,29.025,47.215,43.2,50.73,279.24,27.9846,3.5,94.2954,64.92,67.4,42.75,17.87,208.15,21.89,5.286,173.6,65.69,20.4,89.14,24.565,75.64,16.34,8.2388,105.0
2017-08-14,215.45,18.4301,5.5849,14.285,37.88,122.1,39.315,62.39,117.05,438.65,59.96,13.81,57.27,16.732,14.29,67.22,98.88,15.21,78.1367,71.72,75.34,81.85,80.7301,46.765,33.89,59.76,216.6,29.2875,48.32,43.305,50.94,284.02,28.2535,3.5,95.5431,66.42,67.4,42.86,18.195,215.45,21.97,5.382,175.15,66.69,20.405,90.7,24.76,76.79,16.52,8.3277,106.05
2017-08-15,216.0,18.6712,5.5718,14.33,37.935,122.0,39.295,62.41,118.0,439.35,59.96,14.1,57.21,16.4679,14.44,67.68,99.32,15.375,78.3621,72.34,75.89,82.09,81.3268,46.87,33.925,59.63,217.05,29.1875,48.645,44.435,50.66,284.16,28.4528,3.5,96.0724,67.11,67.4,42.745,18.145,216.0,21.895,5.392,175.3,67.19,20.415,91.73,24.88,76.95,16.508,8.4549,106.55
2017-08-16,218.1,18.8062,5.5747,14.33,38.285,123.4,39.425,62.5,119.05,441.6,59.96,14.08,57.97,16.5683,14.56,68.44,99.59,15.465,78.7754,72.88,76.46,83.27,82.1324,47.245,34.085,60.41,219.1,29.4375,48.96,44.79,51.23,286.21,28.7542,3.5,97.2823,67.11,67.4,43.045,18.325,218.1,22.495,5.428,176.4,67.24,20.635,92.9,25.04,77.71,16.676,8.6404,106.0
2017-08-17,217.25,18.9942,5.5442,14.245,37.95,122.9,39.375,62.31,118.65,442.0,59.96,14.2,57.48,16.3935,14.4,67.83,98.78,15.16,78.4748,72.19,76.25,83.65,82.3114,46.68,34.28,60.23,219.6,29.2,47.825,44.48,51.02,288.58,28.3694,3.5,97.2067,66.57,67.4,42.76,18.265,217.25,22.08,5.356,176.3,66.2,20.56,92.29,24.805,77.17,16.724,8.8727,105.6
2017-08-18,213.8,18.7821,5.5079,14.225,37.84,122.5,39.095,61.53,117.25,439.2,59.96,14.15,56.7,16.2707,14.18,67.62,98.0,15.335,77.423,71.5,75.6,82.99,81.8142,46.31,33.645,59.5,217.7,28.65,48.02,43.74,50.66,285.88,27.9011,3.5,96.2615,66.19,67.4,42.65,18.065,213.8,22.2,5.261,175.4,65.99,20.385,92.16,24.78,76.57,16.552,8.9951,104.6
2017-08-21,212.6,18.7242,5.4425,14.155,37.44,121.7,39.035,61.27,117.4,439.45,59.96,14.06,56.95,16.0326,14.09,67.07,97.84,15.105,77.0098,70.84,74.99,82.78,81.4561,46.0,33.36,59.22,217.0,28.4625,47.165,44.09,50.65,285.56,27.7852,3.5,96.4505,66.5,67.4,42.78,17.895,212.6,22.18,5.236,175.0,64.68,20.545,91.97,24.57,76.14,16.542,8.8067,104.25
2017-08-22,214.2,18.7821,5.5442,14.245,38.005,123.2,39.205,61.57,117.0,442.0,59.96,14.19,57.8,16.0996,14.46,68.08,98.72,15.25,78.024,71.25,75.37,83.74,81.7943,46.455,33.38,59.99,218.95,28.95,46.995,44.635,51.31,289.23,28.1746,3.5,96.5261,66.83,67.4,43.42,18.145,214.2,22.24,5.297,177.15,65.12,20.59,94.21,24.71,76.65,16.578,8.8469,104.55
2017-08-23,212.8,18.7483,5.5457,14.25,37.73,123.55,39.085,59.63,116.55,441.5,59.96,14.315,57.79,16.1963,14.4,67.72,98.04,15.09,77.9113,70.81,75.48,83.43,81.3566,46.135,33.315,59.92,216.95,29.0125,46.965,45.53,50.95,288.72,28.0077,3.5,96.2993,66.77,67.4,43.675,18.135,212.8,22.18,5.276,178.25,64.17,20.585,93.11,24.625,76.1,16.646,8.736,105.05
2017-08-24,212.55,18.811,5.5079,14.215,37.38,123.65,39.06,58.94,116.6,440.5,59.96,14.5,57.05,15.9359,14.345,67.33,98.06,15.075,77.4981,70.37,75.32,83.35,81.7943,46.03,33.365,59.78,218.0,29.0625,47.105,46.855,50.59,291.32,28.1329,3.5,95.6943,66.5,67.4,43.445,18.11,212.55,22.2,5.232,179.9,64.39,20.16,92.62,24.855,75.73,16.492,8.7235,106.05
2017-08-25,212.15,18.8254,5.6343,14.15,37.5,123.2,39.02,58.66,116.7,440.45,59.96,14.33,56.7,16.0847,14.435,67.5,97.8,14.915,77.4606,70.86,75.33,83.45,81.655,45.95,33.315,59.39,217.0,28.75,46.925,46.5,50.26,290.86,27.9799,3.5,95.9968,66.7,67.4,43.325,18.01,212.15,22.305,5.232,178.05,64.22,19.725,92.51,24.79,76.5,16.488,8.6996,105.05
2017-08-28,212.45,18.8447,5.473,14.15,37.135,122.1,38.995,58.52,116.15,438.9,59.96,14.275,56.68,15.8913,14.395,66.81,97.67,14.95,76.9722,70.17,75.56,82.3,81.3865,45.83,33.37,59.04,215.85,29.225,46.75,46.25,49.96,290.34,27.7296,3.5,96.0724,66.19,67.4,43.135,17.965,212.45,22.2,5.207,177.3,63.95,19.585,92.19,24.58,76.0,16.466,8.6777,104.7
2017-08-29,212.0,18.6181,5.4919,14.11,36.66,120.5,38.695,57.16,115.6,439.95,59.96,14.025,55.38,15.6383,14.1,66.17,97.41,14.61,76.559,68.72,74.27,80.45,80.9787,45.25,33.29,58.43,216.2,28.7,46.225,44.85,49.11,287.23,27.2335,3.5,94.2576,66.1,67.4,42.955,17.705,212.0,21.68,5.135,176.5,63.23,19.29,90.96,24.255,75.48,16.25,8.4883,104.15
