,ACA FP Equity,AI FP Equity,CS FP Equity,DG FP Equity,AIR FP Equity,ALO FP Equity,BN FP Equity,BNP FP Equity,PUB FP Equity,RI FP Equity,RMS FP Equity,STM FP Equity,SU FP Equity,HO FP Equity,KER FP Equity,CA FP Equity,CAP FP Equity,DSY FP Equity,EL FP Equity,EN FP Equity,ENGI FP Equity,RNO FP Equity,SAF FP Equity,SAN FP Equity,TEP FP Equity,TTE FP Equity,URW NA Equity,VIE FP Equity,LR FP Equity,MC FP Equity,ML FP Equity,MT NA Equity,ERF FP Equity,GLE FP Equity,SGO FP Equity,STLAP FP Equity,VIV FP Equity,WLN FP Equity,OR FP Equity,ORA FP Equity
2015-02-24,12.81,85.2903,21.435,53.16,51.85,26.5195,60.49,51.98,72.29,104.4,283.45,7.91,70.94,51.78,167.6,29.48,70.49,12.27,102.65,35.46,19.24,84.94,60.92,88.269,66.58,47.185,260.25,16.4584,48.91,161.2,21.565,22.5467,23.47,40.81,41.615,,6.2681,16.5,159.3,16.13
2015-02-25,12.54,85.4366,22.0,52.89,51.4,26.9043,60.47,51.0,71.85,103.85,284.45,7.903,71.26,51.55,166.44,29.24,70.15,12.396,102.7,35.6,19.29,82.7,63.03,88.6171,66.23,47.35,258.05,16.2366,48.895,161.6,21.135,22.3746,23.445,40.195,41.145,,6.2681,16.54,159.45,16.18
2015-02-26,12.61,86.022,22.47,53.47,51.63,27.1825,61.85,51.61,72.76,105.95,283.2,7.998,71.61,50.53,168.85,29.51,71.7,12.5,103.65,35.735,19.475,84.29,62.52,87.0655,68.3,47.25,260.45,16.3716,49.265,161.95,21.0425,22.7351,23.94,40.97,40.3,,6.3306,16.7,161.2,16.45
2015-02-27,12.57,86.4245,22.69,53.02,55.33,27.4004,62.33,52.09,72.87,105.95,288.35,7.98,71.98,51.41,169.18,29.565,72.27,12.506,104.45,35.43,19.875,85.85,62.9,87.2247,69.03,48.235,257.6,16.7766,49.4,163.9,21.495,22.7282,24.245,41.315,40.235,,6.3423,16.7,162.25,16.3
2015-03-02,12.745,86.1684,22.465,53.05,56.09,27.5905,61.8,52.54,72.9,105.25,287.45,8.195,70.93,50.98,168.76,29.65,72.54,12.494,104.5,35.8,19.44,85.34,63.76,85.9317,68.8,47.19,259.95,16.8103,48.28,164.75,21.31,22.3769,23.525,41.485,39.875,,6.0297,16.68,162.1,16.26
2015-03-03,12.585,85.4,22.225,52.04,55.4,27.1871,61.5,50.91,72.23,105.2,287.95,8.258,70.95,50.32,167.78,29.31,72.68,12.39,102.85,35.82,18.99,83.09,63.0,85.693,65.82,47.125,256.7,16.3138,48.94,162.4,20.8975,22.3909,24.295,40.55,39.22,,6.1155,16.615,161.1,15.865
2015-03-04,12.785,86.2416,22.53,52.74,56.52,27.0434,61.37,51.92,72.32,106.3,292.1,8.333,71.0,51.16,169.08,29.66,72.77,12.24,104.35,36.045,19.0,84.94,63.77,86.976,66.45,47.435,258.2,16.3909,49.2,165.1,20.885,22.2024,23.915,41.005,39.465,,6.2231,16.52,163.3,16.05
2015-03-05,12.805,86.9734,22.68,53.65,59.21,27.3587,62.4,52.14,73.46,106.4,295.05,8.481,71.83,51.61,169.18,30.365,73.23,12.254,106.8,36.45,19.1,84.71,65.67,87.3639,66.75,47.47,259.45,16.468,49.57,167.7,20.99,22.5421,25.0,41.34,39.985,,6.2841,16.5,164.75,16.165
2015-03-06,13.05,86.7904,22.79,54.15,59.42,27.2752,62.42,52.08,73.92,106.65,297.05,8.514,71.95,52.48,170.25,31.055,73.06,12.362,105.2,36.375,18.895,85.89,65.63,87.1749,64.81,47.005,253.35,16.4102,49.29,168.9,21.1275,22.9329,24.93,41.805,40.23,,6.2681,16.7,165.6,15.955
2015-03-09,12.95,86.9002,22.835,54.15,58.88,27.3726,61.79,51.96,72.67,105.8,295.1,8.497,70.86,52.29,170.2,31.07,72.9,12.206,104.6,35.095,18.8,86.95,65.84,87.1252,65.1,46.685,249.1,16.3957,48.93,167.8,21.3725,23.333,24.955,41.575,40.18,,6.2565,17.22,165.3,15.04
