,CAP FP Equity,DSY FP Equity,PUB FP Equity,RI FP Equity,EL FP Equity,EN FP Equity,ENGI FP Equity,ACA FP Equity,AI FP Equity,RMS FP Equity,STM FP Equity,SU FP Equity,RNO FP Equity,SAF FP Equity,SAN FP Equity,CS FP Equity,DG FP Equity,TEP FP Equity,TTE FP Equity,HO FP Equity,KER FP Equity,CA FP Equity,ERF FP Equity,GLE FP Equity,AIR FP Equity,URW NA Equity,VIE FP Equity,LR FP Equity,ALO FP Equity,BN FP Equity,BNP FP Equity,SGO FP Equity,VIV FP Equity,WLN FP Equity,MC FP Equity,ML FP Equity,MT NA Equity,OR FP Equity,ORA FP Equity
2015-03-03,11889.9361,15888.292,15973.5572,27922.3524,22213.5033,12039.7308,46246.0605,32423.5626,40259.1032,30398.7123,7521.4231,41485.6264,24571.5651,26272.863,113824.0176,54281.9146,30735.89,3765.0153,112405.8267,10470.7585,22791.1009,21540.3258,3696.9634,32651.2095,43478.8729,25173.9735,9514.1468,13040.1562,9081.181,39593.2075,63431.7035,22037.7261,28430.9183,2191.9603,82457.5295,15526.6741,16029.4,90414.2187,42024.5684
2015-03-04,11904.6594,15695.9398,15993.4605,28214.3161,22537.4727,12115.3572,46270.4133,32938.8358,40655.8296,30836.8253,7590.0457,41514.8622,25118.6513,26593.9758,115528.2073,55026.8408,31149.3243,3801.0523,113145.2602,10633.1512,22968.0711,21797.5457,3639.1389,33017.5794,44357.8681,25321.0751,9559.1309,13109.4337,9033.1734,39509.5146,64690.1208,22175.3917,28931.0105,2179.4273,83828.4367,15517.3867,15894.5033,91648.9256,42514.6122
2015-03-05,11979.9122,15713.8927,16245.5698,28240.8583,23066.6228,12251.4848,46513.9418,32990.3631,41000.809,31148.2551,7724.8503,42000.1768,25050.6352,27386.332,116043.4274,55393.1979,31686.7889,3818.2129,113228.7446,10726.6797,22980.6978,22315.6599,3808.2681,33287.3243,46469.0264,25443.6597,9604.1151,13208.0209,9138.4804,40172.6203,64964.2314,22467.5798,29214.8467,2176.7887,85148.5696,15595.4009,16137.6505,92462.7097,42819.2341
2015-03-06,11952.1014,15852.3863,16347.2981,28307.2137,22721.0554,12226.276,46014.7084,33621.5727,40914.5642,31359.3939,7754.9081,42070.3428,25399.5875,27369.6508,115792.4228,55661.8598,31982.0992,3707.2416,112119.5943,10907.5015,23125.9055,22822.7505,3797.6049,33661.7463,46644.0436,24845.4468,9570.377,13128.6189,9110.605,40185.4962,64889.474,22605.2453,29172.4591,2203.1741,85757.8616,15697.5623,16417.4364,92939.7555,42262.9681
2015-03-09,11925.9265,15652.34,16070.8625,28081.6053,22591.4677,11796.0455,45783.3563,33363.9361,40966.3111,31153.5335,7739.4238,41433.002,25713.0531,27457.227,115726.3689,55771.7669,31982.0992,3723.8301,111356.3081,10868.0117,23119.5922,22833.7742,3801.4132,33476.5483,46220.1495,24428.6592,9561.9424,13032.7313,9143.1263,39779.9072,64739.9591,22577.1503,29118.3358,2271.7759,85203.8195,15879.5953,16703.8839,92771.3864,39839.2379
2015-03-10,11886.6642,15624.1283,16037.6902,27935.6234,22613.0656,12019.5637,44906.6538,32771.372,40552.3357,30620.408,7862.3874,41035.3948,25624.3364,27557.3141,114114.6546,54697.1193,31810.8192,3718.1099,107766.4774,10847.2275,23271.1132,22462.6427,3831.1177,32973.2929,46220.1495,24320.7847,9547.8849,12978.1286,9001.0876,39174.7427,63593.678,22374.8663,29226.5824,2269.1373,84416.7759,15704.9922,16264.2203,92490.7712,40567.6814
2015-03-11,12205.6705,15962.3137,16362.7785,28612.4485,23038.7824,12564.0742,45150.1823,33724.6273,41777.0128,31428.014,8127.4424,42309.9568,26659.3644,28253.7535,118241.1989,55762.9431,32301.0342,3806.7725,108446.2792,11136.1267,24009.7785,22572.8798,3911.853,33939.7799,48221.8714,24786.6062,9606.9266,13336.5253,9188.4812,39895.7898,64802.2569,22869.3384,29767.8154,2286.2878,87082.5688,16148.9299,16360.8131,95240.8002,41587.5023
2015-03-12,12244.9328,16021.3858,16479.9872,28280.6715,23060.3847,12258.2072,44395.2439,33647.3363,41639.021,31665.5452,7856.0116,42005.8631,26484.8883,27857.5754,118545.8419,56471.587,32064.786,3798.1923,108386.6475,11102.8721,24123.4193,22675.7677,3892.05,33963.9364,48732.1142,24619.8912,9727.8215,13200.6829,9290.6959,39676.9005,64291.4143,22602.4358,29429.5448,2290.2456,86625.5757,16169.3622,16262.5549,94876.0004,41044.4808
2015-03-13,12375.8072,16052.206,16864.7857,28479.7377,23222.4014,12508.6148,44395.2439,33750.391,41627.7552,31728.8868,8003.5679,42988.3196,26328.1555,27761.6586,118982.9383,57192.4489,32052.9736,3857.682,106490.271,11167.3029,23971.8983,22881.5436,3920.9928,34052.5099,49893.8978,25002.3551,9727.8215,13333.8617,9293.7933,40037.424,64391.0909,22796.2914,29774.5808,2295.5227,86955.6263,16819.4801,15922.8149,96391.3225,40819.3255
2015-03-16,12501.7737,16296.1996,16911.2268,28851.328,23514.0316,12538.8653,45016.2416,34227.0186,42231.5561,33122.4031,8345.1337,43543.8753,26615.0061,28378.8623,121949.8956,58059.9267,32430.9707,3879.4187,106311.376,11156.9108,24603.2361,22833.7742,3911.0913,34455.117,50129.3945,25105.3262,9781.2401,13461.7134,9313.9265,40340.0062,65338.0187,23122.1935,29774.5808,2305.4172,88707.4331,17086.9572,16002.7538,97261.2297,40713.3701
